Station.State_dataset,Date.Year_dataset,Date.Month_dataset,Data.Precipitation_dataset,Data.Temperature.Avg Temp_dataset,Data.Wind.Speed_dataset,Data.Wind.Direction_dataset,Time_api,Precipitation (mm)_api,Temperature (°F)_api,Wind Speed (mph)_api,Wind Direction_api
Alabama,2016,3,1.3,60.31,6.6,19.88,2025-05-07 16:00,0.0,73.6,7.4,NE
Alaska,2016,3,0.36,31.48,6.44,14.17,2025-05-07 13:00,0.01,45.1,3.6,NW
Arizona,2016,3,0.02,59.85,4.81,20.8,2025-05-07 14:00,0.0,78.1,6.9,WNW
Arkansas,2016,3,1.26,55.0,4.41,11.83,2025-05-07 16:00,0.0,73.9,7.4,SW
California,2016,3,0.84,57.88,5.41,22.04,2025-05-07 14:00,0.0,64.9,6.9,NNW
Colorado,2016,3,0.17,40.5,5.54,20.04,2025-05-07 15:00,0.0,51.1,9.6,N
Connecticut,2016,3,0.39,43.38,6.48,19.38,2025-05-07 17:00,0.0,71.1,7.2,WSW
Georgia,2016,3,0.72,60.92,5.28,21.04,2025-05-07 17:00,0.0,63.0,2.2,N
Hawaii,2016,3,0.53,73.4,7.2,15.4,2025-05-07 11:00,0.0,82.0,18.8,ENE
Idaho,2016,3,0.51,45.17,6.42,16.75,2025-05-07 15:00,0.0,75.0,7.4,SW
Illinois,2016,3,0.63,44.79,7.72,19.29,2025-05-07 16:00,0.0,81.1,2.2,WSW
Iowa,2016,3,0.58,41.55,9.24,19.8,2025-05-07 16:00,0.0,80.1,8.3,S
Kansas,2016,3,0.23,48.88,9.44,22.08,2025-05-07 16:00,0.0,69.1,5.4,ENE
Kentucky,2016,3,0.94,51.55,6.11,19.9,2025-05-07 17:00,0.0,72.0,3.1,SE
Louisiana,2016,3,1.9,64.6,7.06,16.6,2025-05-07 16:00,4.14,71.1,11.2,ESE
Maine,2016,3,0.71,30.08,6.33,22.42,2025-05-07 17:00,0.0,64.9,11.2,S
Maryland,2016,3,0.44,49.5,6.31,17.75,2025-05-07 17:00,0.0,72.3,7.6,WNW
Massachusetts,2016,3,0.45,46.75,8.17,19.25,2025-05-07 17:00,0.0,71.1,7.6,W
Michigan,2016,3,0.74,35.78,5.53,15.28,2025-05-07 17:00,0.0,73.9,7.2,NNE
Minnesota,2016,3,0.56,34.1,7.33,16.95,2025-05-07 16:15,0.0,72.0,10.3,ENE
Mississippi,2016,3,2.29,60.07,6.75,17.36,2025-05-07 16:00,1.42,70.0,9.8,SE
Missouri,2016,3,0.48,50.32,8.53,19.39,2025-05-07 16:00,0.0,69.1,3.6,E
Montana,2016,3,0.11,39.07,7.33,22.41,2025-05-07 15:15,0.0,70.0,12.1,WSW
Nebraska,2016,3,0.25,43.22,8.83,23.88,2025-05-07 16:00,0.0,75.7,6.9,SE
Nevada,2016,3,0.07,49.38,6.03,19.71,2025-05-07 14:00,0.0,75.0,2.2,E
New Hampshire,2016,3,0.42,42.6,16.4,23.4,2025-05-07 17:00,0.0,71.1,7.6,W
New Jersey,2016,3,0.44,47.25,7.11,19.5,2025-05-07 17:00,0.0,78.1,7.8,WSW
New Mexico,2016,3,0.02,51.42,6.87,21.42,2025-05-07 15:00,0.0,54.7,4.5,ESE
New York,2016,3,0.38,40.69,6.58,18.28,2025-05-07 17:00,0.0,73.0,7.2,WSW
North Carolina,2016,3,0.58,56.68,6.15,19.04,2025-05-07 17:00,0.0,75.9,4.3,WNW
North Dakota,2016,3,0.07,36.15,7.96,18.8,2025-05-07 16:00,0.0,66.9,8.9,SE
Ohio,2016,3,0.88,44.21,7.34,19.07,2025-05-07 17:00,0.0,69.1,2.2,NE
Oklahoma,2016,3,0.32,53.69,10.07,18.56,2025-05-07 16:00,0.0,70.0,9.2,W
Pennsylvania,2016,3,0.35,45.61,5.83,19.21,2025-05-07 17:00,0.0,69.8,8.1,NW
Rhode Island,2016,3,0.59,42.75,6.98,18.75,2025-05-07 17:00,0.0,62.1,12.1,SSW
South Carolina,2016,3,0.49,60.0,5.72,18.38,2025-05-07 17:00,0.0,75.0,9.4,WSW
South Dakota,2016,3,0.19,39.4,9.02,20.35,2025-05-07 16:00,0.0,72.1,10.7,ENE
Tennessee,2016,3,0.99,54.38,4.95,20.09,2025-05-07 16:00,0.0,71.1,7.6,ESE
Texas,2016,3,0.67,61.85,9.04,17.11,2025-05-07 16:15,0.0,79.2,12.5,ESE
Utah,2016,3,0.36,47.75,5.07,23.25,2025-05-07 15:00,0.0,69.1,6.3,WNW
Vermont,2016,3,0.42,35.0,6.1,24.5,2025-05-07 17:00,0.0,62.1,4.3,SW
Virginia,2016,3,0.47,52.38,6.6,17.5,2025-05-07 17:00,0.0,64.6,4.0,SSW
West Virginia,2016,3,0.54,49.12,4.7,21.5,2025-05-07 17:00,0.0,68.2,2.7,NW
Wisconsin,2016,3,0.71,38.12,7.16,17.0,2025-05-07 16:00,0.0,67.8,10.5,E
